Lead_I,Lead_II
-0.119,-0.055
-0.116,-0.051
-0.12,-0.044
-0.117,-0.038
-0.103,-0.031
-0.097,-0.025
-0.119,-0.014
-0.096,0.008
-0.048,0.044
-0.037,0.045
-0.032,0.034
-0.002,0.078
-0.017,0.052
-0.115,-0.028
-0.156,-0.063
-0.153,-0.066
-0.143,-0.058
-0.109,-0.072
-0.153,-0.055
-0.178,-0.066
-0.152,-0.04
0.043,0.156
0.469,0.344
0.371,0.247
-0.002,0.007
-0.078,-0.081
-0.132,-0.058
-0.132,-0.073
-0.14,-0.088
-0.138,-0.057
-0.179,-0.094
-0.18,-0.072
-0.119,-0.051
-0.158,-0.088
-0.138,-0.077
-0.117,-0.077
-0.133,-0.067
-0.126,-0.066
-0.149,-0.055
-0.156,-0.058
-0.139,-0.056
-0.124,-0.036
-0.073,-0.035
-0.078,-0.011
-0.123,-0.001
-0.121,-0.014
-0.062,0.041
-0.023,0.081
-0.024,0.064
0.022,0.124
0.021,0.151
0.011,0.137
-0.009,0.117
-0.042,0.071
-0.048,0.054
-0.066,0.034
-0.088,0.001
-0.143,-0.057
-0.169,-0.071
-0.17,-0.057
-0.19,-0.075
-0.184,-0.071
-0.165,-0.057
-0.195,-0.079
-0.188,-0.085
-0.178,-0.075
-0.186,-0.076
-0.163,-0.065
-0.169,-0.07
-0.138,-0.038
-0.159,-0.044
-0.184,-0.079
-0.143,-0.07
-0.157,-0.083
-0.126,-0.057
-0.131,-0.065
-0.155,-0.073
-0.143,-0.051
-0.17,-0.086
-0.146,-0.075
-0.157,-0.073
-0.175,-0.101
-0.141,-0.1
-0.158,-0.106
-0.174,-0.102
-0.167,-0.098
-0.168,-0.093
-0.165,-0.09
-0.158,-0.084
-0.153,-0.077
-0.119,-0.071
-0.113,-0.063
-0.118,-0.061
-0.106,-0.057
-0.149,-0.087
-0.148,-0.09
-0.132,-0.082
-0.122,-0.074
-0.13,-0.058
-0.126,-0.058
-0.051,0.013
-0.072,0.016
-0.098,-0.023
-0.081,-0.002
