Lead_I,Lead_II
-0.079,-0.196
-0.085,-0.199
-0.083,-0.193
-0.091,-0.183
-0.083,-0.169
-0.097,-0.148
-0.074,-0.126
-0.095,-0.113
-0.082,-0.105
-0.035,-0.102
0.007,-0.093
0.0,-0.119
-0.054,-0.164
-0.076,-0.185
-0.094,-0.201
-0.091,-0.194
-0.109,-0.22
-0.12,-0.215
-0.159,-0.215
0.228,0.207
0.811,1.307
0.68,1.609
0.085,0.63
-0.215,-0.034
-0.114,-0.079
-0.085,-0.145
-0.077,-0.148
-0.066,-0.14
-0.064,-0.141
-0.039,-0.128
-0.048,-0.128
-0.013,-0.113
-0.03,-0.106
-0.015,-0.087
-0.016,-0.068
-0.02,-0.042
0.021,-0.015
0.033,0.015
0.059,0.052
0.075,0.095
0.117,0.156
0.158,0.214
0.189,0.252
0.232,0.285
0.224,0.3
0.217,0.284
0.197,0.254
0.154,0.194
0.12,0.124
0.037,0.046
-0.025,-0.035
-0.029,-0.069
-0.036,-0.099
-0.052,-0.132
-0.056,-0.141
-0.067,-0.156
-0.064,-0.16
-0.066,-0.154
-0.068,-0.152
-0.055,-0.147
-0.055,-0.144
-0.052,-0.141
-0.054,-0.136
-0.058,-0.134
-0.06,-0.13
-0.063,-0.125
-0.073,-0.127
-0.068,-0.133
-0.06,-0.137
-0.067,-0.14
-0.08,-0.146
-0.066,-0.15
-0.057,-0.15
-0.075,-0.15
-0.068,-0.149
-0.065,-0.151
-0.059,-0.16
-0.063,-0.16
-0.074,-0.156
-0.067,-0.155
-0.068,-0.15
-0.069,-0.15
-0.076,-0.155
-0.068,-0.155
-0.058,-0.155
-0.061,-0.155
-0.06,-0.155
-0.058,-0.153
-0.054,-0.149
-0.06,-0.151
-0.06,-0.15
-0.061,-0.151
-0.059,-0.15
-0.055,-0.144
-0.071,-0.128
-0.051,-0.096
-0.036,-0.087
-0.041,-0.093
-0.047,-0.092
-0.033,-0.1
0.0,-0.096
-0.017,-0.112
-0.041,-0.137
-0.069,-0.162
-0.058,-0.158
-0.075,-0.162
-0.076,-0.189
-0.139,-0.187
-0.027,-0.085
0.615,0.71
0.929,1.662
0.483,1.265
-0.067,0.253
-0.135,-0.027
-0.039,-0.048
-0.075,-0.109
-0.043,-0.096
-0.038,-0.12
-0.03,-0.118
-0.012,-0.114
-0.003,-0.093
0.006,-0.079
0.011,-0.071
0.021,-0.059
0.028,-0.049
0.049,-0.025
0.068,-0.001
0.083,0.031
0.107,0.067
0.136,0.106
0.176,0.156
0.218,0.207
0.243,0.245
0.27,0.277
0.259,0.289
0.226,0.277
0.215,0.246
0.169,0.186
0.103,0.116
0.059,0.044
0.027,-0.019
0.0,-0.058
-0.034,-0.092
-0.053,-0.117
-0.051,-0.125
-0.049,-0.126
-0.048,-0.121
-0.042,-0.12
-0.021,-0.115
-0.028,-0.116
-0.045,-0.125
-0.051,-0.125
-0.053,-0.125
-0.044,-0.122
-0.038,-0.119
-0.037,-0.121
-0.043,-0.124
-0.051,-0.127
-0.056,-0.129
-0.063,-0.133
-0.07,-0.135
-0.068,-0.137
-0.063,-0.141
-0.065,-0.139
-0.075,-0.144
-0.08,-0.145
-0.088,-0.145
-0.095,-0.15
-0.105,-0.15
-0.102,-0.151
-0.086,-0.155
-0.082,-0.155
-0.067,-0.152
-0.079,-0.149
-0.092,-0.15
-0.084,-0.15
-0.075,-0.15
-0.074,-0.15
-0.079,-0.144
-0.06,-0.135
-0.058,-0.131
-0.06,-0.12
-0.083,-0.105
-0.108,-0.08
-0.08,-0.052
-0.071,-0.038
-0.08,-0.025
-0.043,-0.044
0.008,-0.043
0.002,-0.057
-0.05,-0.103
-0.092,-0.13
-0.051,-0.134
-0.074,-0.124
-0.077,-0.146
-0.127,-0.164
-0.152,-0.162
0.419,0.458
0.833,1.459
0.488,1.386
-0.066,0.485
-0.205,0.038
-0.095,-0.018
-0.119,-0.083
-0.051,-0.074
-0.039,-0.064
-0.05,-0.054
-0.07,-0.041
-0.098,-0.038
-0.066,-0.028
-0.076,-0.023
-0.044,-0.013
-0.011,0.014
0.009,0.052
0.024,0.077
0.007,0.104
0.02,0.12
0.085,0.164
0.125,0.223
0.126,0.262
0.157,0.301
0.197,0.338
0.206,0.351
0.166,0.343
0.148,0.331
0.124,0.283
0.053,0.209
0.008,0.134
-0.05,0.069
-0.054,0.024
-0.062,-0.02
-0.123,-0.056
-0.139,-0.061
-0.116,-0.067
-0.079,-0.08
-0.118,-0.077
-0.145,-0.071
-0.096,-0.068
-0.076,-0.062
-0.106,-0.061
-0.132,-0.065
-0.102,-0.065
-0.085,-0.065
-0.082,-0.065
-0.079,-0.066
-0.097,-0.067
-0.124,-0.077
-0.115,-0.091
-0.083,-0.09
-0.103,-0.09
-0.109,-0.09
-0.102,-0.089
-0.103,-0.093
-0.11,-0.095
-0.14,-0.095
-0.126,-0.095
-0.096,-0.095
-0.121,-0.096
-0.149,-0.1
-0.12,-0.104
-0.101,-0.104
-0.096,-0.094
-0.095,-0.092
-0.108,-0.067
-0.104,-0.036
-0.098,-0.005
-0.06,0.057
-0.046,0.044
-0.019,0.02
-0.002,0.015
-0.057,-0.043
-0.105,-0.077
-0.103,-0.099
-0.105,-0.087
-0.121,-0.109
-0.095,-0.12
-0.213,-0.145
0.082,0.1
0.678,1.088
0.642,1.632
0.135,0.933
-0.232,0.175
-0.177,0.018
-0.063,0.007
-0.053,-0.014
-0.07,-0.01
-0.057,-0.024
-0.074,-0.027
-0.113,-0.026
-0.054,-0.001
-0.026,0.01
-0.048,0.025
-0.066,0.05
-0.02,0.064
0.018,0.084
0.001,0.108
0.015,0.146
0.068,0.183
0.112,0.213
0.134,0.256
0.182,0.31
0.186,0.354
0.177,0.371
0.191,0.361
0.153,0.343
0.141,0.3
0.115,0.229
0.039,0.162
0.005,0.108
-0.043,0.041
-0.083,-0.012
-0.084,-0.029
-0.097,-0.044
-0.092,-0.05
-0.087,-0.05
-0.078,-0.051
-0.073,-0.05
-0.11,-0.05
-0.119,-0.05
-0.102,-0.047
-0.092,-0.044
-0.097,-0.041
-0.109,-0.039
-0.087,-0.035
-0.089,-0.037
-0.071,-0.043
-0.051,-0.046
-0.093,-0.044
-0.098,-0.047
-0.096,-0.058
-0.105,-0.062
-0.095,-0.069
-0.102,-0.071
-0.081,-0.078
-0.068,-0.08
-0.098,-0.082
-0.069,-0.086
-0.055,-0.078
-0.074,-0.074
-0.089,-0.039
-0.104,-0.014
-0.058,0.015
-0.038,0.048
-0.028,0.031
-0.014,0.014
-0.034,-0.018
-0.041,-0.048
-0.098,-0.065
-0.103,-0.082
-0.085,-0.081
-0.092,-0.108
-0.127,-0.113
-0.187,-0.124
0.246,0.312
0.779,1.374
0.631,1.643
0.066,0.724
-0.203,0.074
-0.112,-0.002
-0.101,-0.064
-0.067,-0.065
-0.042,-0.054
-0.03,-0.057
-0.015,-0.042
-0.041,-0.045
-0.017,-0.031
-0.038,-0.019
-0.051,-0.005
-0.02,0.012
-0.019,0.036
-0.019,0.064
0.008,0.088
0.041,0.118
0.067,0.157
0.093,0.196
0.162,0.25
0.204,0.302
0.196,0.34
0.189,0.344
0.193,0.337
0.179,0.315
0.129,0.251
0.09,0.184
0.053,0.1
-0.002,0.022
-0.022,-0.028
-0.023,-0.064
-0.043,-0.082
-0.062,-0.089
-0.087,-0.08
-0.093,-0.087
-0.091,-0.1
-0.066,-0.093
-0.044,-0.089
-0.058,-0.083
-0.048,-0.077
-0.062,-0.073
-0.105,-0.069
-0.105,-0.067
-0.092,-0.064
-0.112,-0.061
-0.083,-0.06
-0.062,-0.067
-0.078,-0.075
-0.079,-0.079
-0.087,-0.083
-0.078,-0.085
-0.075,-0.086
-0.087,-0.099
-0.1,-0.111
-0.091,-0.113
-0.085,-0.111
-0.087,-0.109
-0.098,-0.108
-0.074,-0.102
-0.045,-0.114
-0.113,-0.135
-0.119,-0.132
-0.079,-0.126
-0.098,-0.123
-0.08,-0.116
-0.063,-0.116
-0.092,-0.122
-0.113,-0.129
-0.097,-0.134
-0.07,-0.136
-0.09,-0.137
-0.112,-0.141
-0.091,-0.138
-0.049,-0.124
-0.076,-0.1
-0.078,-0.061
-0.044,-0.037
-0.061,-0.02
-0.035,-0.018
-0.027,-0.032
0.008,-0.038
0.001,-0.079
-0.056,-0.117
-0.066,-0.147
-0.063,-0.134
-0.06,-0.145
-0.081,-0.165
-0.19,-0.158
-0.012,-0.017
0.631,0.881
0.817,1.739
0.346,1.177
-0.106,0.208
-0.152,-0.032
-0.072,-0.083
-0.098,-0.136
-0.067,-0.12
-0.054,-0.13
-0.048,-0.111
-0.041,-0.109
-0.04,-0.098
-0.03,-0.092
-0.02,-0.084
0.006,-0.071
-0.009,-0.064
0.007,-0.035
0.047,0.004
0.039,0.031
0.088,0.055
0.128,0.088
0.15,0.135
0.205,0.19
0.225,0.233
0.211,0.269
0.196,0.278
0.198,0.264
0.161,0.236
0.119,0.178
0.088,0.108
0.027,0.037
-0.018,-0.027
-0.045,-0.079
-0.048,-0.112
-0.058,-0.131
-0.068,-0.15
-0.066,-0.159
-0.072,-0.16
-0.068,-0.16
-0.072,-0.16
-0.068,-0.16
-0.079,-0.16
-0.093,-0.163
-0.065,-0.166
-0.057,-0.169
-0.063,-0.171
-0.068,-0.177
-0.081,-0.184
-0.083,-0.189
-0.09,-0.19
-0.102,-0.192
-0.084,-0.195
-0.068,-0.196
-0.077,-0.201
-0.08,-0.206
-0.085,-0.209
-0.085,-0.21
-0.081,-0.21
-0.079,-0.21
-0.081,-0.21
-0.079,-0.209
-0.085,-0.214
-0.094,-0.225
-0.09,-0.225
-0.087,-0.225
-0.085,-0.225
-0.081,-0.225
-0.078,-0.223
-0.074,-0.219
-0.068,-0.217
-0.063,-0.214
-0.062,-0.211
-0.069,-0.209
-0.074,-0.205
-0.077,-0.205
-0.08,-0.204
-0.079,-0.2
-0.084,-0.2
-0.084,-0.198
-0.081,-0.191
-0.077,-0.184
-0.074,-0.178
-0.07,-0.17
-0.069,-0.166
-0.063,-0.156
-0.052,-0.149
-0.05,-0.142
-0.04,-0.142
-0.016,-0.137
-0.007,-0.134
-0.029,-0.179
-0.088,-0.22
-0.09,-0.227
-0.101,-0.22
-0.115,-0.237
-0.125,-0.232
-0.204,-0.236
0.246,0.183
0.845,1.248
0.708,1.573
0.139,0.637
-0.185,-0.052
-0.1,-0.104
-0.06,-0.172
-0.088,-0.191
-0.065,-0.179
-0.036,-0.178
-0.033,-0.162
-0.043,-0.16
-0.031,-0.146
-0.024,-0.139
-0.007,-0.123
0.004,-0.109
0.029,-0.088
0.022,-0.06
0.04,-0.02
0.074,0.017
0.089,0.046
0.126,0.083
0.157,0.133
0.198,0.184
0.238,0.226
0.246,0.265
0.21,0.266
0.192,0.255
0.166,0.222
0.119,0.144
0.081,0.06
0.02,-0.019
-0.03,-0.09
-0.065,-0.138
-0.063,-0.165
-0.072,-0.184
-0.084,-0.198
-0.07,-0.202
-0.073,-0.196
-0.072,-0.191
-0.075,-0.188
-0.076,-0.182
-0.071,-0.178
-0.065,-0.175
-0.063,-0.172
-0.066,-0.17
-0.074,-0.166
-0.078,-0.165
-0.094,-0.168
-0.111,-0.172
-0.091,-0.174
-0.095,-0.179
-0.087,-0.179
-0.069,-0.172
-0.075,-0.181
-0.075,-0.187
-0.089,-0.184
-0.085,-0.182
-0.089,-0.179
-0.1,-0.181
-0.099,-0.184
-0.086,-0.18
-0.09,-0.177
-0.097,-0.173
-0.09,-0.17
-0.096,-0.164
-0.093,-0.169
-0.137,-0.192
-0.12,-0.196
-0.091,-0.195
-0.104,-0.2
-0.084,-0.2
-0.095,-0.199
-0.077,-0.195
-0.102,-0.195
-0.116,-0.196
-0.111,-0.194
-0.121,-0.197
-0.098,-0.18
-0.117,-0.141
-0.096,-0.123
-0.11,-0.118
-0.115,-0.112
-0.077,-0.118
-0.06,-0.11
-0.053,-0.126
-0.068,-0.162
-0.105,-0.194
-0.11,-0.196
-0.09,-0.197
-0.085,-0.21
-0.159,-0.207
-0.109,-0.172
0.461,0.506
0.789,1.469
0.405,1.304
-0.11,0.377
-0.24,-0.02
-0.125,-0.045
-0.136,-0.128
-0.093,-0.125
-0.039,-0.121
-0.075,-0.115
-0.104,-0.106
-0.082,-0.097
-0.066,-0.069
-0.072,-0.065
-0.059,-0.047
-0.027,-0.023
-0.015,-0.009
-0.002,-0.005
0.013,0.015
0.04,0.055
0.066,0.1
0.066,0.142
0.121,0.193
0.161,0.236
0.15,0.26
0.158,0.279
0.163,0.273
0.151,0.261
0.118,0.218
0.028,0.133
-0.012,0.061
-0.053,0.004
-0.075,-0.041
-0.077,-0.073
-0.119,-0.098
-0.114,-0.106
-0.119,-0.11
-0.126,-0.118
-0.126,-0.121
-0.127,-0.118
-0.129,-0.115
-0.115,-0.114
-0.126,-0.111
-0.131,-0.11
-0.133,-0.11
-0.159,-0.11
-0.137,-0.11
-0.099,-0.112
-0.071,-0.116
-0.095,-0.115
-0.129,-0.115
-0.136,-0.115
-0.109,-0.11
-0.109,-0.11
-0.162,-0.11
-0.151,-0.11
-0.141,-0.11
-0.15,-0.11
-0.136,-0.11
-0.159,-0.109
-0.143,-0.109
-0.101,-0.109
-0.108,-0.102
-0.133,-0.098
-0.137,-0.091
-0.119,-0.087
-0.148,-0.071
-0.153,-0.032
-0.115,-0.021
-0.121,-0.009
-0.106,0.001
-0.047,-0.007
-0.055,-0.043
-0.069,-0.102
-0.082,-0.126
-0.114,-0.14
-0.131,-0.126
-0.145,-0.148
-0.137,-0.146
-0.204,-0.164
0.172,0.196
0.678,1.206
0.536,1.535
0.033,0.736
-0.296,0.066
-0.162,-0.015
-0.109,-0.055
-0.147,-0.09
-0.099,-0.068
-0.111,-0.077
-0.088,-0.063
-0.088,-0.063
-0.069,-0.045
-0.041,-0.034
-0.057,-0.019
-0.077,-0.004
-0.06,0.01
-0.027,0.041
-0.013,0.064
0.003,0.094
0.06,0.129
